Nasi uduk;Beras bintang;ID21320000007770320;;;Beef Teriyaki;Daging slice
;Beras pak tani;ID35210038288881225;;;;saus teriyaki
;santan;ID00410000177281021;;;;bawang putih, bawang bombay
;Garam Cap kapal;ID35310022447900525;;;;minyak wijen
;serai, lengkuas, daun salam ;;;;Ayam Teriyaki;ayam fillet
Nasi Hainan;Beras Bintang;ID21320000007770320;;;;saus teriyaki
;Beras Pak Tani;ID35210038288881225;;;;bawang putih, bawang bombay
;Saori ;ID00410000088320221;;;;minyak wijen
;Jahe, Ladaku, gula, garam;;;;Ayam Koloke;ayam fillet
Nasi kebuli;Beras bintang;ID21320000007770320;;;;tepung terigu
;Beras pak tani;ID35210038288881225;;;;telur,bombay
;santan;ID00410000177281021;;;;garam cap kapal
;Garam Cap kapal;ID35310022447900525;;;;ladaku
;serai, lengkuas, daun salam, ketumbar, kunyit;;;;;dalmonte saus tomat
;kismis;;;;;gula pasir
Nasi Daun Jeruk;Beras bintang;ID21320000007770320;;;;minyak goreng sunco
;Beras pak tani;ID35210038288881225;;;Ayam Kecap;ayam fillet
;santan;ID00410000177281021;;;;bawang putih, bawang bombay
;Garam Cap kapal;ID35310022447900525;;;;saus tiram
;serai, lengkuas, daun jeruk;;;;;kecap manis
Nasi Kuning;Beras bintang;ID21320000007770320;;;;garam cap kapal
;Beras pak tani;ID35210038288881225;;;;gula pasir
;santan;ID00410000177281021;;;Ayam Goreng Mentega;ayam potong
;Garam Cap kapal;ID35310022447900525;;;;kaldu jamur
;serai, lengkuas, daun jeruk;;;;;bawang putih, bawang bombay
Nasi Pandan;Beras bintang;ID21320000007770320;;;;mentega
;Beras pak tani;ID35210038288881225;;;;kecap manis
;santan;ID00410000177281021;;;;kecap asin
;Garam Cap kapal;ID35310022447900525;;;;gula dan garam
;serai, lengkuas, daun jeruk;;;;Ayam Suwir;ayam fillet
Nasi Goreng;Beras bintang;ID21320000007770320;;;;ladaku
;Beras pak tani;ID35210038288881225;;;;bawang merah, bawang putih, daun jeruk,daun salam, jahe, kunyit, serai, lengkuas, kemiri
;santan;ID00410000177281021;;;Oseng Bakso;bakso sapi
;Garam Cap kapal;ID35310022447900525;;;;kaldu jamur
;serai, lengkuas, daun jeruk;;;;;kecap manis
Mie Ayam;Mie Basah;;;;;gula merah
;Garam Cap kapal;ID35310022447900525;;;;cabe besar merah
;Minyak Sovia;ID00410000191920621;;;;bawang merah, bawang putih, daun jeruk, lengkuas
;minyak wijen;ID21110031818231025;;;Chicken Katsu;ayam fillet
;Bawang putih;;;;;terigu cakra
Mie Sweet;Mi Kuda Menjangan;ID35310000004070220;;;;ladaku
;Kecap bango;ID00410000009221219;;;;totole kaldu jamur
;kecap extra;ID35210000092870321;;;;garam cap kapal
;minyak wijen;ID21110031818231025;;;;bawang putih, bawang bombay
Macaroni Pasta;Macaroni Sedani;ID31110007830930723;;;;tepung panir
;cream cheese anchor;ID00410000093100321;;;;minyak goreng sunco
;butter blue band;ID00410000088681220;;;Ayam Curry;ayam fillet
;ultramilk 1 liter;ID32110039746140126;;;;bawang merah, bawang putih, daun jeruk,daun salam, jahe, kunyit, serai, lengkuas, kemiri
Bakmie Jawa;bakmie;ID00310020915941024;;;;bumbu curry
;kecap bango ;ID00410000009221219;;;Ayam Kremes;ayam potong
;Garam Cap kapal;ID35310022447900525;;;;bawang merah, bawang putih, daun jeruk,daun salam, jahe, kunyit, serai, lengkuas, kemiri
;bawang putih,ladaku,kaldu jamur,;;;;;garam cap kapal
;;;;;;gula
Burger;roti bun;;;;;tepung terigu
;;;;;;tepung crispy
Kentang Goreng;kentang ;;;;Ayam pop;ayam fillet
;garam cap kapal;ID35310022447900525;;;;tepung terigu
Parsley Potatoes;kentang ;;;;;tepung crispy
;parsley;;;;;bawang putih
;garam cap kapal;;;;Ayam Crispy;ayam fillet
Jasuke;jagung ;;;;;tepung terigu
;susu;;;;;tepung crispy
;cream cheese;;;;;minyak goreng sunco
;;;;;Ayam Patty;ayam fillet
;;;;;;telur ayam
;;;;;;bawang putih, bawang bombay
;;;;;;garam cap kapal
;;;;;;totole kaldu jamur
;;;;;;tepung panir
;;;;;Fire Chicken;sayap ayam
;;;;;;desaku marinasi
;;;;;;tepung terigu
;;;;;;dalmonte saus tomat
;;;;;;dalmonte saus sambel
;;;;;;bawang putih
;;;;;;minyak goreng sunco
;;;;;Sate Ayam ;ayam fillet
;;;;;;kacang tanah, gula jawa, bawang putih, bawang merah
;;;;;;garam cap kapal
;;;;;;kecap manis bango
;;;;;Kaki Naga;ayam fillet
;;;;;;bawang merah, bawang putih, jahe, 
;;;;;;telur ayam
;;;;;;tepung panir
;;;;;;minyak wijen
;;;;;;saus tiram
;;;;;;garam cap kapal
;;;;;Ayam Bolognese;ayam fillet
;;;;;;bawang putih, bawang bombay
;;;;;;garam cap kapal
;;;;;;jahe
;;;;;;totole kaldu jamur
;;;;;Bakso Bolognese;bakso sapi
;;;;;;bawang putih, bawang bombay
;;;;;;garam cap kapal
;;;;;;jahe
;;;;;;totole kaldu jamur
;;;;;Chicken Steak ;ayam fillet
;;;;;;bawang putih
