"Bahan Baku,Satuan,Harga/Unit,Stok Saat Ini,Gizi (per 100g),Status"
"Anggur,Krat,305000.0,8.0,,"
"Anggur,Unspecified,305000.0,18.0,,"
"Anggur Hitam,Unspecified,400000.0,8.0,,"
"Anggur Merah,Krat,294285.71428571426,144.0,,"
"Anggur Merah,Unspecified,305000.0,9.0,,"
"Anggur Muscat,Krat,350000.0,8.0,,"
"Anggur Muscat New,Krat,350000.0,25.0,,"
"Anggur Muscat Promo,Krat,250000.0,4.0,,"
"Anggur Muskat,Krat,380000.0,9.5,,"
"Anggur Muskat,Unspecified,380000.0,9.5,,"
"Apel,Dus,570000.0,5.0,,"
"Apel,Karton,585000.0,2.0,,"
"Apel Fuji,Dus,490000.0,22.0,,"
"Apel Fuji,Karton,585000.0,25.0,,"
"Apel Fuji,Unspecified,585000.0,25.0,,"
"Ardan Boy,Karton,148000.0,5.0,,"
"Asam Jawa,Kepal,12000.0,1.0,,"
"Asam Jawa,Kg,22500.0,1.2,,"
"Asam Jawa,Unspecified,25000.0,0.7,,"
"Asem,Kepal,12000.0,1.0,,"
"Asem Jawa,Kepal,12000.0,1.0,,"
"Ayam Dada,Kg,40000.0,10.0,,"
"Ayam Filed,Kg,48000.0,100.0,,"
"Ayam Filet,Kg,46500.0,1200.5,,"
"Ayam Fillet,Kg,46333.333333333336,2520.1,,"
"Ayam Potong,Kg,37843.75,1342.34,,"
"Ayam Potong,Pcs,36650.0,4.5,,"
"Ayam Slince,Kg,45000.0,30.0,,"
"Bakso Premium,Kg,60000.0,106.0,,"
"Bawang Bombai,Kg,35000.0,5.0,,"
"Bawang Bombay,Kg,36857.142857142855,34.0,,"
"Bawang Goreng,Toples,,6.0,,"
"Bawang Merah,Kg,38714.28571428572,21.8,,"
"Bawang Merah Goreng,Kg,40000.0,1.0,,"
"Bawang Merah Goreng,Toples,38000.0,8.0,,"
"Bawang Merah Kupas,Kg,37833.333333333336,19.0,,"
"Bawang Putih,Kg,34857.142857142855,16.0,,"
"Bawang Putih Bubuk,Kg,120000.0,1.0,,"
"Bawang Putih Bubuk,Renceng,11000.0,2.0,,"
"Bawang Putih Kupas,Kg,40545.454545454544,45.9,,"
"Beras 64 25kg,Sak,365000.0,8.0,,"
"Beras Bintang,Sak,385000.0,1.0,,"
"Beras Bintang 25 Kg,Sak,380000.0,26.0,,"
"Beras Bintang 25kg,Sak,385000.0,20.0,,"
"Beras Buntang 25kg,Sak,385000.0,1.0,,"
"Beras Pak Tani 25 Kg,Sak,370000.0,22.0,,"
"Beras Pak Tani 25kg,Sak,370000.0,26.0,,"
"Beras Premium,Sak,385500.0,10.0,,"
"Besai,Kg,8500.0,65.0,,"
"Bihun,Bal,80000.0,15.0,,"
"Bihun Jagung,Bal,80000.0,15.0,,"
"Bihun Kuda Menjangan,Bal,80000.0,12.0,,"
"Biskuit,Karton,135000.0,2.0,,"
"Biskuit Kelapa,Karton,135000.0,1.0,,"
"Bomboe Rendang,Pcs,14000.0,30.0,,"
"Bombai,Kg,38000.0,3.0,,"
"Brambang,Kg,34000.0,4.0,,"
"Brambang Goreng,Toples,36000.0,2.0,,"
"Brokoli,Kg,31000.0,109.8,,"
"Brownis Lki,Pcs,17000.0,626.0,,"
"Buah Anggur Muscat,Krat,,4.0,,"
"Buah Jeruk Manis,Kg,21000.0,289.0,,"
"Buah Pir,Krat,,20.0,,"
